CRICKET - PAKISTAN's WASIM AKRAM JOINS 300 CLUB .
LONDON 1996-08-26
Wasim Akram's three-wicket haul
for <LOCATION>Pakistan</LOCATION> in England's second innings at The Oval on Monday
gave him his 300th test match wicket .
Wasim becomes the 11th player to join the 300-club of
bowlers and the second Pakistani , after <PERSON>Imran Khan</PERSON> , to achieve
the feat .
Other cricketers who have taken over 300 Test wickets :
Kapil Dev ( India ) 434 wickets , 131 Tests
<PERSON>Richard Hadlee ( New Zealand</PERSON> ) 431 , 86
<PERSON>Ian Botham</PERSON> ( England ) 383 , 102
Malcolm Marshall ( West Indies ) 376 , 81
Imran Khan ( Pakistan ) 362 , 88
Dennis Lillee ( Australia ) 355 , 70
Bob Willis ( England ) 325 , 90
Lance Gibbs ( West Indies ) 309 , 79
Fred Trueman ( England ) 307 , 67
<PERSON>Courtney Walsh</PERSON> ( West Indies ) 309 , 82
Wasim Akram ( Pakistan ) 300 , 70

